season,week,game_id,home_team,away_team,kickoff_utc,snapshot_utc,slot,markets
2023,9,2023_09_SEA_BAL,BAL,SEA,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_MIN_ATL,ATL,MIN,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_ARI_CLE,CLE,ARI,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_IND_CAR,CAR,IND,2023-11-05 21:05:00+00:00,2023-11-05 20:05:00+00:00,2023-11-05 20:05:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_NYG_LV,LV,NYG,2023-11-05 21:25:00+00:00,2023-11-05 20:25:00+00:00,2023-11-05 20:25:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_DAL_PHI,PHI,DAL,2023-11-05 21:25:00+00:00,2023-11-05 20:25:00+00:00,2023-11-05 20:25:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_BUF_CIN,CIN,BUF,2023-11-06 01:20:00+00:00,2023-11-06 00:20:00+00:00,2023-11-06 00:20:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_LAC_NYJ,NYJ,LAC,2023-11-07 01:15:00+00:00,2023-11-07 00:15:00+00:00,2023-11-07 00:15:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_CAR_CHI,CHI,CAR,2023-11-10 01:15:00+00:00,2023-11-10 00:15:00+00:00,2023-11-10 00:15:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_IND_NE,NE,IND,2023-11-12 14:30:00+00:00,2023-11-12 13:30:00+00:00,2023-11-12 13:30:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_NO_MIN,MIN,NO,2023-11-12 18:00:00+00:00,2023-11-12 17:00:00+00:00,2023-11-12 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_TEN_TB,TB,TEN,2023-11-12 18:00:00+00:00,2023-11-12 17:00:00+00:00,2023-11-12 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_GB_PIT,PIT,GB,2023-11-12 18:00:00+00:00,2023-11-12 17:00:00+00:00,2023-11-12 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_HOU_CIN,CIN,HOU,2023-11-12 18:00:00+00:00,2023-11-12 17:00:00+00:00,2023-11-12 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_CLE_BAL,BAL,CLE,2023-11-12 18:00:00+00:00,2023-11-12 17:00:00+00:00,2023-11-12 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_SF_JAX,JAX,SF,2023-11-12 18:00:00+00:00,2023-11-12 17:00:00+00:00,2023-11-12 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_ATL_ARI,ARI,ATL,2023-11-12 21:05:00+00:00,2023-11-12 20:05:00+00:00,2023-11-12 20:05:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_DET_LAC,LAC,DET,2023-11-12 21:05:00+00:00,2023-11-12 20:05:00+00:00,2023-11-12 20:05:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_NYG_DAL,DAL,NYG,2023-11-12 21:25:00+00:00,2023-11-12 20:25:00+00:00,2023-11-12 20:25:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_WAS_SEA,SEA,WAS,2023-11-12 21:25:00+00:00,2023-11-12 20:25:00+00:00,2023-11-12 20:25:00+00:00,"player_receptions,player_reception_yds"
2023,10,2023_10_NYJ_LV,LV,NYJ,2023-11-13 01:20:00+00:00,2023-11-13 00:20:00+00:00,2023-11-13 00:20:00+00:00,"player_receptions,player_reception_yds"
